iter	Passed	Remaining
1011	70462	18381
1012	70530	18311
1013	70593	18240
1014	70664	18170
1015	70735	18101
1016	70806	18032
1017	70876	17962
1018	70939	17891
1019	71010	17822
1020	71083	17753
1021	71155	17684
1022	71228	17615
1023	71295	17545
1024	71366	17476
1025	71430	17405
1026	71501	17335
1027	71564	17264
1028	71628	17193
1029	71694	17123
1030	71767	17054
1031	71833	16983
1032	71903	16914
1033	71977	16845
1034	72047	16776
1035	72109	16704
1036	72175	16634
1037	72246	16565
1038	72315	16495
1039	72381	16424
1040	72445	16354
1041	72503	16282
1042	72569	16211
1043	72634	16140
1044	72704	16071
1045	72778	16002
1046	72849	15933
1047	72909	15862
1048	72972	15791
1049	73043	15721
1050	73113	15652
1051	73181	15582
1052	73242	15510
1053	73313	15441
1054	73377	15370
1055	73439	15299
1056	73511	15230
1057	73576	15160
1058	73637	15089
1059	73698	15017
1060	73772	14949
1061	73840	14879
1062	73901	14808
1063	73971	14738
1064	74043	14669
1065	74116	14600
1066	74183	14530
1067	74256	14461
1068	74325	14392
1069	74396	14323
1070	74470	14254
1071	74541	14185
1072	74611	14115
1073	74685	14046
1074	74757	13977
1075	74829	13908
1076	74888	13837
1077	74957	13767
1078	75030	13698
1079	75100	13629
1080	75165	13558
1081	75232	13489
1082	75300	13419
1083	75366	13348
1084	75435	13279
1085	75510	13210
1086	75575	13140
1087	75647	13071
1088	75714	13001
1089	75777	12930
1090	75843	12860
1091	75910	12790
1092	75978	12720
1093	76046	12651
1094	76113	12581
1095	76180	12511
1096	76248	12441
1097	76320	12372
1098	76391	12303
1099	76458	12233
1100	76521	12162
1101	76594	12093
1102	76665	12024
1103	76727	11953
1104	76790	11883
1105	76856	11813
1106	76927	11744
1107	76994	11674
1108	77059	11604
1109	77129	11534
1110	77200	11465
1111	77263	11395
1112	77333	11325
1113	77397	11255
1114	77466	11185
1115	77535	11116
1116	77604	11046
1117	77674	10977
1118	77743	10907
1119	77808	10837
1120	77881	10768
1121	77963	10700
1122	78037	10632
1123	78101	10561
1124	78170	10492
1125	78241	10422
1126	78305	10352
1127	78374	10283
1128	78445	10213
1129	78525	10145
1130	78587	10075
1131	78646	10004
1132	78715	9934
1133	78784	9865
1134	78856	9796
1135	78917	9725
1136	78979	9655
1137	79039	9584
1138	79108	9515
1139	79172	9445
1140	79233	9374
1141	79302	9305
1142	79363	9234
1143	79425	9164
1144	79490	9094
1145	79554	9024
1146	79617	8954
1147	79681	8884
1148	79740	8813
1149	79798	8743
1150	79866	8673
1151	79928	8603
1152	79988	8533
1153	80063	8464
1154	80132	8394
1155	80203	8325
1156	80267	8255
1157	80334	8186
1158	80404	8116
1159	80473	8047
1160	80535	7977
1161	80594	7906
1162	80666	7837
1163	80732	7768
1164	80800	7698
1165	80863	7628
1166	80936	7559
1167	81008	7490
1168	81081	7421
1169	81152	7352
1170	81226	7283
1171	81298	7214
1172	81371	7145
1173	81458	7077
1174	81553	7010
